iter	RMSE
133	242.5833474
134	241.7643414
135	240.91674
136	240.0427037
137	239.5190814
138	239.0806568
139	237.9524465
140	237.4321462
141	236.9700019
142	235.9130906
143	234.817397
144	233.9025374
145	233.1032888
146	232.6121649
147	231.9085999
148	231.4094635
149	231.030058
150	229.9179968
151	229.5508703
152	228.4655472
153	228.1637975
154	227.584938
155	226.8789556
156	226.6139023
157	226.4997626
158	226.0281616
159	225.4320103
160	224.7303476
161	224.3925612
162	223.8172011
163	223.3872852
164	222.7929211
165	222.5407305
166	222.4848101
167	222.4027257
168	222.1220286
169	221.5654074
170	221.4993003
171	220.952903
172	220.8614673
173	220.6890563
174	220.4460056
175	220.1691824
176	219.6257929
177	219.3060392
178	219.1046193
179	218.4908845
180	218.050709
181	217.5462736
182	217.115727
183	216.5406584
184	216.4368882
185	216.2448996
186	215.8263546
187	215.0767223
188	214.7759393
189	214.3473219
190	214.1669936
191	213.6663451
192	213.2926583
193	213.0905973
194	212.6647553
195	212.6116956
196	212.0092323
197	211.160389
198	211.0255773
199	210.3675963
200	210.2526671
201	209.670936
202	209.0540925
203	209.0121939
204	208.9015783
205	208.6496177
206	208.2685195
207	208.0740978
208	207.4211748
209	207.3551157
210	206.8678182
211	206.7373718
212	206.3036613
213	205.6107595
214	205.4560442
215	204.5218985
216	204.4022525
217	203.8902739
218	203.8536543
219	203.7280723
220	203.6270101
221	203.5011617
222	203.4655402
223	203.3778889
224	202.8477205
225	202.6330334
226	202.6022995
227	202.3232788
228	202.1508797
229	202.118902
230	202.0069874
231	201.9474
232	201.7351053
233	201.0131504
234	200.2073377
235	200.1751554
236	199.6366409
237	199.1292264
238	198.6534753
239	197.9322949
240	197.7586089
241	197.1708504
242	196.6791226
243	196.6525267
244	196.1022079
245	195.6385703
246	195.0186133
247	194.5932927
248	194.475151
249	194.3628916
250	193.9604296
251	193.3746432
252	192.8612978
253	192.6456181
254	192.4920021
255	191.8375822
256	191.8126583
257	191.3554031
258	191.3310715
259	190.9502136
260	190.8201036
261	190.7962415
262	190.2966677
263	190.2760455
264	189.7408515
265	189.1187023
266	188.6136812
267	188.2848024
268	188.2028803
269	187.8146105
270	187.4487571
271	186.9297987
272	186.5717356
273	186.11875
274	186.0985951
275	185.4490775
276	184.9834394
277	184.9628759
278	184.6675324
279	184.1639272
280	183.9291192
281	183.6278931
282	183.5254488
283	183.4465756
284	183.2888205
285	183.0042868
286	182.9158557
287	182.835885
288	182.6116081
289	182.1012331
290	181.7406558
291	181.2796993
292	180.9718295
293	180.8490406
294	180.4520538
295	180.4287371
296	179.9051948
297	179.3641831
298	179.0813763
299	178.5921156
300	178.5260564
301	178.045385
302	177.5993677
303	177.1560063
304	177.1391391
305	176.7411623
306	176.6659588
307	176.3477194
308	175.7961417
309	175.3697987
310	175.3532981
311	174.8783561
312	174.7693995
313	174.2527733
314	173.9446775
315	173.928439
316	173.9087806
317	173.8501536
318	173.8347462
319	173.5993381
320	173.5279675
321	173.1846594
322	173.1698838
323	172.8835263
324	172.863827
325	172.4637873
326	172.0143385
327	171.624581
328	171.6054256
329	171.3857644
330	170.9947602
331	170.5815144
332	170.2738249
333	170.255293
334	169.7590972
335	169.6226802
336	169.609161
337	169.5933799
338	169.1744846
339	168.9179734
340	168.6788474
341	168.2914737
342	167.8753744
343	167.5825616
344	167.1403704
345	166.7148176
346	166.6976611
347	166.6355371
348	166.4238656
349	166.0225208
350	165.6360623
351	165.5234006
352	165.2027221
353	165.1433474
354	164.9797657
355	164.8941091
356	164.8118257
357	164.4992736
358	164.4828398
359	164.4351143
360	164.0509355
361	163.9488104
362	163.6420689
363	163.2733103
364	162.9203916
365	162.640394
366	162.2111862
367	161.9543232
368	161.7647341
369	161.3036055
370	161.2541861
371	160.8759131
372	160.6275376
373	160.3057936
374	160.1117557
375	160.0687237
376	159.8971148
377	159.5092762
378	159.2689158
379	159.2191133
380	158.8954629
381	158.6736972
382	158.6025964
383	158.36263
384	158.3476203
385	158.3296166
386	157.9912734
387	157.9479251
388	157.7078646
389	157.5360637
390	157.4846272
391	157.1681685
392	156.8898461
393	156.7771983
394	156.5214491
395	156.1678058
396	155.9081223
397	155.6811952
398	155.645199
399	155.4349506
400	155.1028283
401	155.0096969
402	154.8044585
403	154.4768322
404	154.1537449
405	153.9615034
406	153.6643969
407	153.3678501
408	153.1996473
409	153.1484297
410	152.9841064
411	152.6859879
412	152.4641926
413	152.2246183
414	152.1632038
415	151.87208
416	151.6609152
417	151.6473178
418	151.6304847
419	151.6175426
420	151.2242135
421	150.9506273
422	150.8033018
423	150.6564194
424	150.6404476
425	150.5541908
426	150.3060002
427	149.9018801
428	149.7186139
429	149.5300949
430	149.2957095
431	149.0454841
432	148.9293263
433	148.7114433
434	148.4725034
435	148.4037704
436	148.1318706
437	148.0972631
438	147.8750787
439	147.686363
440	147.4554003
441	147.2865314
442	146.9860275
443	146.6975803
444	146.4656448
445	146.3046768
446	146.2927264
447	146.0812591
448	145.7950207
449	145.4944365
450	145.4132435
451	145.2128826
452	144.9900805
453	144.9427103
454	144.6986294
455	144.627157
456	144.4721475
457	144.2853348
458	144.273524
459	144.1459635
460	144.1346913
461	143.8317241
462	143.8206693
463	143.7353114
464	143.6789812
465	143.6509776
466	143.5630583
467	143.4739438
468	143.4609803
469	143.3120489
470	143.0648406
471	142.932255
472	142.7625529
473	142.5681609
474	142.5075819
475	142.2580507
476	142.1240689
477	141.9532201
478	141.9307507
479	141.7660671
480	141.6648395
481	141.4351012
482	141.2881025
483	141.1803105
484	141.0462491
485	140.8972888
486	140.8101229
487	140.7158524
488	140.7025266
489	140.5590612
490	140.3780001
491	140.2237091
492	140.2134704
493	140.2030182
494	140.1191434
495	139.9996257
496	139.9505513
497	139.9388673
498	139.7560134
499	139.5040895
500	139.4473522
501	139.4349352
502	139.3435699
503	139.1414936
504	138.9310962
505	138.7422592
506	138.5677128
507	138.418014
508	138.4060633
509	138.3617891
510	138.2575501
511	138.1022661
512	137.9932751
513	137.8944682
514	137.7774335
515	137.5710441
516	137.2717555
517	137.1323951
518	136.9077989
519	136.7978079
520	136.5416551
521	136.321111
522	136.2981912
523	136.1447021
524	136.1136481
525	135.9328514
526	135.6985953
527	135.5388623
528	135.3866421
529	135.3779134
530	135.3234588
531	135.1488901
532	134.9765039
533	134.8957232
534	134.8845718
535	134.8059897
536	134.7671944
537	134.6557062
538	134.5253371
539	134.4693402
540	134.2822003
541	134.2644665
542	134.1371374
543	134.1273639
544	133.9869641
545	133.7469217
546	133.6315146
547	133.4608991
548	133.3271677
549	133.1665493
550	133.1362208
551	133.0231972
552	132.8563153
553	132.7370369
554	132.6911153
555	132.6733878
556	132.6654909
557	132.6574759
558	132.3888781
559	132.2465601
560	132.0169781
561	131.8776569
562	131.7465614
563	131.547632
564	131.366832
565	131.1919877
566	131.0455993
567	130.9861118
568	130.8060105
569	130.5541317
570	130.4377059
571	130.4281361
572	130.3298726
573	130.0928756
574	130.0030809
575	129.9806495
576	129.939173
577	129.6845286
578	129.6689203
579	129.5164482
580	129.2976943
581	129.1364982
582	128.988933
583	128.7982155
584	128.6132982
585	128.4064383
586	128.3632881
587	128.24756
588	127.997895
589	127.8063543
590	127.7994758
591	127.5270343
592	127.3938222
593	127.1799777
594	127.163619
595	127.0649563
596	126.9258556
597	126.7952247
598	126.7479882
599	126.6521594
600	126.5131168
601	126.4974419
602	126.3805136
603	126.2767511
604	126.1008596
605	125.9306189
606	125.798088
607	125.6477212
608	125.5292454
609	125.329675
610	125.2873306
611	125.1543962
612	124.9653972
613	124.8412016
614	124.6472248
615	124.5133477
616	124.4129678
617	124.30535
618	124.1722277
619	124.0179016
620	123.8602271
621	123.7723564
622	123.7467376
623	123.6091024
624	123.4372484
625	123.280936
626	123.2295713
627	123.059998
628	122.9183267
629	122.8270219
630	122.6372949
631	122.6019997
632	122.5933876
633	122.4942763
634	122.3446144
635	122.2957702
636	122.1571631
637	122.0107226
638	121.977364
639	121.8903097
640	121.8016578
641	121.6493453
642	121.5664971
643	121.4726269
644	121.3477296
645	121.2369674
646	121.1280917
647	121.0006048
648	120.9195513
649	120.7615941
650	120.6367822
651	120.4726936
652	120.3589744
653	120.3079024
654	120.1569115
655	120.0129816
656	119.7851093
657	119.6197659
658	119.4679858
659	119.343436
660	119.2548984
661	119.2187514
662	119.0944036
663	118.9542553
664	118.837237
665	118.7100382
666	118.5809485
667	118.4722059
668	118.3319628
669	118.1540478
670	118.104485
671	118.0068635
672	117.8955496
673	117.6871613
674	117.5609839
675	117.451666
676	117.2504928
677	117.173277
678	117.1634963
679	117.0388639
680	116.9577546
681	116.8786554
682	116.6949391
683	116.6855235
684	116.5738361
685	116.4580485
686	116.3458388
687	116.2197504
688	116.0827066
689	115.9933179
690	115.8306606
691	115.6951958
692	115.5248808
693	115.4954085
694	115.4738332
695	115.4177638
696	115.3410922
697	115.3297917
698	115.2342616
699	115.1707741
700	115.0799008
701	114.9924874
702	114.9304909
703	114.8798354
704	114.7421172
705	114.7370227
706	114.5787049
707	114.4515345
708	114.3601021
709	114.3344125
710	114.2514404
711	114.1413272
712	114.0534972
713	113.9990061
714	113.9939936
715	113.8844978
716	113.8250795
717	113.8141968
718	113.7575511
719	113.6463519
720	113.5787554
721	113.4287079
722	113.2916388
723	113.1613547
724	113.0635141
725	112.9762661
726	112.8437275
727	112.7633753
728	112.6711124
729	112.5146562
730	112.4345863
731	112.3293703
732	112.2632754
733	112.1917193
734	112.0981213
735	112.0507977
736	111.9569051
737	111.8445398
738	111.6630704
739	111.590535
740	111.4902803
741	111.4212616
742	111.2678835
743	111.2402752
744	111.0905201
745	110.9939922
746	110.8473104
747	110.7913741
748	110.7198599
749	110.6228164
750	110.5582952
751	110.4622243
752	110.4256547
753	110.3450651
754	110.2270588
755	110.1546931
756	110.0865245
757	110.0340715
758	109.9641502
759	109.8511945
760	109.7517327
761	109.6309459
762	109.4656391
763	109.3991752
764	109.3497002
765	109.2832522
766	109.1763975
767	109.1066112
768	109.0153455
769	108.9575743
770	108.7829431
771	108.6366405
772	108.4668419
773	108.4202405
774	108.3939001
775	108.2357264
776	108.1961391
777	108.0819568
778	107.9730138
779	107.8758008
780	107.818915
781	107.7542405
782	107.6759751
783	107.6710656
784	107.6056958
785	107.5120917
786	107.4360551
787	107.309997
788	107.2448003
789	107.133528
790	107.0523656
791	106.9761861
792	106.938932
793	106.8047211
794	106.7554972
795	106.6732908
796	106.6001983
797	106.5326027
798	106.4600395
799	106.3940335
800	106.3296807
801	106.2188511
802	106.1430127
803	106.047924
804	105.9856999
805	105.9603626
806	105.9027992
807	105.842188
808	105.7624167
809	105.636043
810	105.6074854
811	105.5085571
812	105.4605943
813	105.3968027
814	105.3450535
815	105.2499731
816	105.1462203
817	105.0438061
818	104.8719904
819	104.7942941
820	104.7029611
821	104.6649235
822	104.5740031
823	104.4770841
824	104.3844213
825	104.2880253
826	104.2151353
827	104.1030411
828	104.0219482
829	103.9893721
830	103.9206787
831	103.8511537
832	103.8088954
833	103.6884201
834	103.5871964
835	103.5259994
836	103.5043972
837	103.4837381
838	103.4613785
839	103.4266805
840	103.254735
841	103.1991453
842	103.1779601
843	103.1485898
844	103.1292309
845	103.0578292
846	102.952348
847	102.8668161
848	102.7590583
849	102.7093605
850	102.6354126
851	102.6223762
852	102.5404533
853	102.4442798
854	102.3701711
855	102.3101317
856	102.2596919
857	102.1799517
858	102.136985
859	102.1115338
860	102.0367302
861	101.9323572
862	101.8933316
863	101.8483189
864	101.7806827
865	101.7169628
866	101.6696782
867	101.6411941
868	101.5972694
869	101.4761909
870	101.4405915
871	101.3744186
872	101.3406838
873	101.2538048
874	101.101668
875	101.0232011
876	100.9258737
877	100.8338423
878	100.7494892
879	100.7305422
880	100.6776673
881	100.6138038
882	100.5200514
883	100.470637
884	100.3927686
885	100.309326
886	100.2950072
887	100.2114594
888	100.1365379
889	99.9868276
890	99.87479146
891	99.73330669
892	99.64646495
893	99.52988405
894	99.47691457
895	99.35210064
896	99.26896526
897	99.19450323
898	99.0996229
899	99.02214135
900	98.93893341
901	98.84687322
902	98.7920285
903	98.75090624
904	98.70717022
905	98.6621452
906	98.61234452
907	98.60126235
908	98.50460055
909	98.40568935
910	98.36072594
911	98.33816663
912	98.29522175
913	98.24754697
914	98.20880979
915	98.1814439
916	98.12930903
917	98.07104675
918	98.01138943
919	97.87172834
920	97.83220754
921	97.78783776
922	97.73149723
923	97.65251924
924	97.61440122
925	97.53359265
926	97.4413105
927	97.34718529
928	97.26286697
929	97.19995463
930	97.18897969
931	97.13154845
932	97.09331931
933	96.98968684
934	96.91058788
935	96.83641609
936	96.78277133
937	96.71136492
938	96.66575811
939	96.60764228
940	96.51761061
941	96.47654227
942	96.44429747
943	96.37604047
944	96.3015106
945	96.25388041
946	96.21520224
947	96.16548688
948	96.06581117
949	95.9875408
950	95.88727613
951	95.8269437
952	95.74997382
953	95.69193882
954	95.61193618
955	95.57479856
956	95.49048017
957	95.36292604
958	95.3058682
959	95.2512272
960	95.20874525
961	95.14792202
962	95.06748093
963	94.98103158
964	94.96867709
965	94.93546963
966	94.85077569
967	94.84270748
968	94.76843633
969	94.72520748
970	94.63652625
971	94.60063483
972	94.51225831
973	94.43009885
974	94.39364864
975	94.36424932
976	94.2288305
977	94.18165961
978	94.1235072
979	94.01745719
980	94.00495089
981	93.97012768
982	93.90589783
983	93.84672717
984	93.73098233
985	93.6926532
986	93.67653854
987	93.60948204
988	93.57502493
989	93.57168726
990	93.49289716
991	93.41927618
992	93.36792109
993	93.29827235
994	93.24742447
995	93.11357214
996	93.03263789
997	93.00684847
998	92.92574504
999	92.88111139
